material,sent1,sent2,sent3
alan_plane,"Alan has a plane to catch, that is departing for New York.","In the taxi to the airport, he reads a magazine about photography.","At the airport, Alan checks his bags in at the desk."
anna_interview,"Anna has an important job interview to attend in the morning, that she cannot miss.","The night before, when she gets home from work, she cleans the refrigerator.","Going to bed, Anna sets her alarm clock for 7am."
belinda_meeting,Belinda is on a plane going to Los Angeles for a business meeting.,"Looking out the plane window she is thinking fondly of her boyfriend, George.","When Belinda reaches Los Angeles, she takes a taxi downtown to the meeting venue. "
bill_holiday,"Bill is looking forward to going on his summer holidays, as he has been working hard for months.",He cooks himself a large breakfast on the day of his departure.,"Then, Bill packs his passport in his suitcase for the journey. "
bob_job,Bob wants to quit his job because he is not credited for his hard work.,"On arriving at the office, he turns on his computer and starts working as usual.","At coffee-time, Bob goes to talk to his boss about his job."
edith_exam,Edith wants to get an A in her final-year exam in art history.,"Before the exam, she leaves her scarf off at the dry-cleaners, to be cleaned. ",Edith has carefully researched the artists to be examined.
john_party,John comes home early from work because himself and his wife are having a dinner party that evening.,"After arriving home, he takes off his coat and goes to his wife in the kitchen.",John starts to peel the potatoes for the dinner.
karen_bus,Karen is returning home on the bus and wants to avoid getting wet in the rain.,She is humming a tune as she looks out the bus-window.,"Karen decides to text her boyfriend, so he can pick her up from the bus-stop."
katie_kitten,Katie is trying to find her lost kitten.,"Sitting on the sofa in the living room, she wonders where it could be. ","Then, Katie goes into the kitchen because she hears a noise."
louise_shopping,Louise wants to shop at an expensive clothes store.  ,She is wearing her favourite dress and matching shoes.,Louise draws money from the ATM. 
lucy_loan,Lucy hates her old car and wants to buy a new one.,"Her old car is yellow, with a broken roof-rack.",Lucy calls the bank to get a loan for a new car.
mary_food,"When she comes home one evening, Mary is very hungry and needs something to eat.","On entering the kitchen, she leaves her keys on the table.","Though the cupboard is empty, Mary spots an apple in the fruit-bowl."
michael_tea,"After waking up, Michael goes downstairs to have his breakfast.",He first goes to the front door to pick up his post. ,"Then, Michael goes into the kitchen and makes some tea."
peter_college,"Peter is rushing to get to College, on time, for a lecture.","After waking up, he makes his bed and opens the curtains. ","Leaving his house, Peter jumps on his bike and cycles off."
rebecca_swimming,Rebecca is at the beach and wants to go for a swim in the sea.,For a while she reads a book while sitting in the sun.   ,Rebecca then puts on her goggles and walks into the sea.
robert_essay,Robert is working late to finish a long essay for his philosophy course.,The lamp on his desk is an antique given to him by his parents.,Robert is proof-reading the final draft of the essay.
sally_wine,Sally wants to buy a bottle of wine for her Friday evening dinner.,She had a stressful week with the kids and is looking forward to the weekend.,Sally decides to go to the corner-shop near her house.
sam_driving,Sam is driving home in a hurry because he wants to watch a soccer match on TV.,He turns on the car radio to listen to some music.  ,"Sam decides to take the tunnel, to get home sooner."
sean_call,Sean is in a foreign country and wants to contact his mother to let her know he is safe.,The foreign city he is visiting is known for its traffic.,Sean takes out his mobile phone and dials her number.
steve_gardening,Steve needs to do some gardening because his back-garden has become completely overgrown.,"A long, yellow, clothes-line runs down the middle of the back-garden.",Steve takes out the lawnmower to cut the grass.
