,material,cond,expt,var_feature1,var_feature2,var_feature3,var_feature4,answer_text,user_id,best_ans,value,best_senti,best_obj,pos,neg,neither,resolve,goal_obj,non_goal_obj,neither_obj,both_objs
0,alan_plane,3.2RB,expt2,UNEXP-BAD,bizarre,reverse,goal,His luggage ends up in LA,5a0d9b95087f2e0001eaea6c,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
1,alan_plane,3A(2),expt2,UNEXP-BAD,bizarre,control,goal,his bags are over weight,599b56790ed7ae0001991d4d,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
2,alan_plane,3A,expt2,UNEXP-BAD,normal,control,non-goal,"On arrival in New York, his bag is nowhere to be seen. It transpires that it was lost by the airline and Alan will have to go through a convoluted process to attempt to claim restitution from the company, as he didn't have travel insurance, which would have made the whole thing much easier.",5b1552789663ee0001463aff,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
3,alan_plane,5B,expt2,UNEXP,normal,reverse,non-goal,The bags went missing and were put on another flight.,598f5361ad9ab80001a01bed,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
4,alan_plane,3A(2),expt2,UNEXP-BAD,bizarre,control,goal,His bags end up elsewhere,5b0eacd3e9270900013bee22,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
5,alan_plane,3B,expt2,UNEXP-BAD,normal,control,goal,wrong bags,5b204966325d600001c04630,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
6,alan_plane,5A,expt2,UNEXP,normal,control,non-goal,he picked up the wrong bag and left his passport at home,5b50965a4ec71200012d2945,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
7,alan_plane,3.2RB,expt2,UNEXP-BAD,bizarre,reverse,goal,he lost his luggage,5ab552656db3e700011bea12,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
8,alan_plane,3A(2),expt2,UNEXP-BAD,bizarre,control,goal,His bag gets lost ,59eb687b05c43a00019a2dbb,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
9,alan_plane,3.2RB,expt2,UNEXP-BAD,bizarre,reverse,goal,Alan's bags get sent to France.,58fb57ecfbafc1000146e286,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
10,alan_plane,3.2RA,expt2,UNEXP-BAD,bizarre,reverse,non-goal,His bags accidentally get sent to another country. ,58337beaa816100001a3a041,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
11,alan_plane,5C,expt2,UNEXP,normal,control,goal,His bags go to Dubai,5b54e7a6c09af90001f149b1,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
12,alan_plane,3.2RA,expt2,UNEXP-BAD,bizarre,reverse,non-goal,Was his luggage lost? or his camera gear was damaged in the flight?,5b2b06dc5b5c0900018b2115,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
13,alan_plane,5A,expt2,UNEXP,normal,control,non-goal,His bags get lost in Madrid,5b57262b13731400019dc60a,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
14,alan_plane,3.2RB,expt2,UNEXP-BAD,bizarre,reverse,goal,The airline sends his bags to Outer Mongolia instead of New York.,5a19928ea383a100011b6164,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
15,alan_plane,3RA,expt2,UNEXP-BAD,normal,reverse,non-goal,his bags are too heavy to travel,5a9d935e1ade740001b91713@email.prolific.ac,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
16,alan_plane,3B,expt2,UNEXP-BAD,normal,control,goal,lost bag,cevey absher,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
17,alan_plane,3A,expt2,UNEXP-BAD,normal,control,non-goal,his bags get lost and dont make it onto his plane,5a95c178b5e2110001c69884,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
18,alan_plane,3RA,expt2,UNEXP-BAD,normal,reverse,non-goal,"He gets to New york and they have lost his bags, ",leannechannell@hotmail.co.uk,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
19,alan_plane,5C3,expt2,UNEXP,bizarre,control,goal,Alan realizes he has picked up the wrong bags.,55c81ed6fdf99b077aeb21b1,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
20,alan_plane,5C3,expt2,UNEXP,bizarre,control,goal,once he got to the bag desk he realised he forgot his luggage,5aeafdc9e39bc200011118a5,ap_neg_ans1,1,neg,goal_object,0,1,0,0,1,0,0,0
