,expt,cond,var_feature1,user_id,material,material_variant,answer_text,rater_order,all_ans_codes,all_senti_js,all_obj_js,best_senti,best_obj,best_ans,order,comment,pos,neg,neither,resolve
0,,,,,,,,,,,,,,,,,0,0,0,0
1,expt1,cond1a,UNEXP,54468870fdf99b648b6a5c69,alan_plane,non-goal,He has forgotten his passport,mk kc mq,ap_neg_ans3 ap_neg_ans3 ap_neg_ans3,neg neg neg,neither_obj neither_obj neither_obj,neg,neither_obj,ap_neg_ans3,to_do,,0,1,0,0
2,,,,,,,,,,,,,,,,,0,0,0,0
3,expt1,cond1a,UNEXP,561f168fed6e5a000fc7e90c,alan_plane,non-goal,His flight is delayed.,mk kc mq,ap_neg_ans6 ap_neg_ans6 ap_neg_ans6,neg neg neg,goal_obj neither_obj goal_obj,neg,goal_obj,ap_neg_ans6,to_do,,0,1,0,0
4,,,,,,,,,,,,,,,,,0,0,0,0
5,expt1,cond1a,UNEXP,577e1f75160201000103d95a,alan_plane,non-goal,The flight is cancelled,mk kc mq,ap_neg_ans6 ap_neg_ans6 ap_neg_ans6,neg neg neg,goal_obj neither_obj goal_obj,neg,goal_obj,ap_neg_ans6,to_do,,0,1,0,0
6,,,,,,,,,,,,,,,,,0,0,0,0
7,expt1,cond1a,UNEXP,57ff8c2d90de420001673aa0,alan_plane,non-goal,the plane is delayed,mk kc mq,ap_neg_ans6 ap_neg_ans6 ap_neg_ans6,neg neg neg,goal_obj neither_obj goal_obj,neg,goal_obj,ap_neg_ans6,to_do,,0,1,0,0
8,,,,,,,,,,,,,,,,,0,0,0,0
9,expt1,cond1a,UNEXP,58c9ac1693499d0001347650,alan_plane,non-goal,His tickets aren't valid,mk kc mq,ap_neg_ans2 ap_neg_ans2 ap_neg_ans2,neg neg neg,neither_obj neither_obj neither_obj,neg,neither_obj,ap_neg_ans2,to_do,,0,1,0,0
10,,,,,,,,,,,,,,,,,0,0,0,0
11,expt1,cond1a,UNEXP,59510e88ca6e670001b2c704,alan_plane,non-goal,he forgot his passport ,mk kc mq,ap_neg_ans3 ap_neg_ans3 ap_neg_ans3,neg neg neg,neither_obj neither_obj neither_obj,neg,neither_obj,ap_neg_ans3,to_do,,0,1,0,0
12,,,,,,,,,,,,,,,,,0,0,0,0
13,expt1,cond1a,UNEXP,5976a970c7854f00017bffbd,alan_plane,non-goal,"His bags don't make it onto the flight and when he gets to New York, he realises that his luggage has been lost.",mk kc mq,ap_neg_ans1 ap_neg_ans1 ap_neg_ans1,neg neg neg,goal_obj goal_obj goal_obj,neg,goal_obj,ap_neg_ans1,to_do,,0,1,0,0
14,,,,,,,,,,,,,,,,,0,0,0,0
15,expt1,cond1a,UNEXP,5978f1fda33b0d0001fd31d9,alan_plane,non-goal,the bags are overweight,mk kc mq,ap_neg_ans1 ap_neg_ans1 ap_neg_ans1,neg neg neg,goal_obj goal_obj goal_obj,neg,goal_obj,ap_neg_ans1,to_do,,0,1,0,0
16,,,,,,,,,,,,,,,,,0,0,0,0
17,expt1,cond1a,UNEXP,59882b440e411a0001d838e0,alan_plane,non-goal,they upgraded Alan to a private jet,mk kc mq,ap_pos_ans2 ap_pos_ans2 ap_pos_ans2,pos pos pos,goal_obj neither_obj neither_obj,pos,neither_obj,ap_pos_ans2,to_do,,1,0,0,0
18,,,,,,,,,,,,,,,,,0,0,0,0
19,expt1,cond1a,UNEXP,598d74208380cc00012a3a62,alan_plane,non-goal,one of his bags is missing,mk kc mq,ap_neg_ans1 ap_neg_ans1 ap_neg_ans1,neg neg neg,goal_obj goal_obj goal_obj,neg,goal_obj,ap_neg_ans1,to_do,,0,1,0,0
20,,,,,,,,,,,,,,,,,0,0,0,0
21,expt1,cond1a,UNEXP,59d142d54994000001b69ac3,alan_plane,non-goal,He realises he has forgotten his boarding tickets,mk kc mq,ap_neg_ans2 ap_neg_ans2 ap_neg_ans2,neg neg neg,neither_obj neither_obj neither_obj,neg,neither_obj,ap_neg_ans2,to_do,,0,1,0,0
22,,,,,,,,,,,,,,,,,0,0,0,0
23,expt1,cond1a,UNEXP,59dd046377860e00015124eb,alan_plane,non-goal,He realised at the desk he's left his passport at home ,mk kc mq,ap_neg_ans3 ap_neg_ans3 ap_neg_ans3,neg neg neg,neither_obj neither_obj neither_obj,neg,neither_obj,ap_neg_ans3,to_do,,0,1,0,0
24,,,,,,,,,,,,,,,,,0,0,0,0
25,expt1,cond1a,UNEXP,5b11622bbd9c31000156b055,alan_plane,non-goal,he is given an upgrade,mk kc mq,ap_pos_ans2 ap_pos_ans2 ap_pos_ans2,pos pos pos,neither_obj neither_obj neither_obj,pos,neither_obj,ap_pos_ans2,to_do,,1,0,0,0
26,,,,,,,,,,,,,,,,,0,0,0,0
27,expt1,cond1a,UNEXP,5b13d189e9270900013c50de,alan_plane,non-goal,He's refused because his tickets don't work.,mk kc mq,ap_neg_ans2 ap_neg_ans2 ap_neg_ans2,neg neg neg,neither_obj neither_obj neither_obj,neg,neither_obj,ap_neg_ans2,to_do,,0,1,0,0
28,,,,,,,,,,,,,,,,,0,0,0,0
29,expt1,cond1a,UNEXP,5b144cdae9270900013c5b61,alan_plane,non-goal,His bags get lost,mk kc mq,ap_neg_ans1 ap_neg_ans1 ap_neg_ans1,neg neg neg,goal_obj goal_obj goal_obj,neg,goal_obj,ap_neg_ans1,to_do,,0,1,0,0
30,,,,,,,,,,,,,,,,,0,0,0,0
31,expt1,cond1a,UNEXP,5b162d3fbd9c310001570856,alan_plane,non-goal,Flight late leaving,mk kc mq,ap_neg_ans6 ap_neg_ans6 ap_neg_ans6,neg neg neg,goal_obj neither_obj goal_obj,neg,goal_obj,ap_neg_ans6,to_do,,0,1,0,0
32,,,,,,,,,,,,,,,,,0,0,0,0
33,expt1,cond1b,UNEXP,56881e96d7848e000c399bb4,alan_plane,goal,He gets a free upgrade,mk kc mq,ap_pos_ans2 ap_pos_ans2 ap_pos_ans2,pos pos pos,neither_obj neither_obj neither_obj,pos,neither_obj,ap_pos_ans2,to_do,,1,0,0,0
34,,,,,,,,,,,,,,,,,0,0,0,0
35,expt1,cond1b,UNEXP,58c74d7193dac30001d49fe7,alan_plane,goal,the flight is delayed ,mk kc mq,ap_neg_ans6 ap_neg_ans6 ap_neg_ans6,neg neg neg,goal_obj neither_obj goal_obj,neg,goal_obj,ap_neg_ans6,to_do,,0,1,0,0
36,,,,,,,,,,,,,,,,,0,0,0,0
37,expt1,cond1b,UNEXP,59e879752f63d30001c8fb9f,alan_plane,goal,It was delayed,mk kc mq,ap_neg_ans6 ap_neg_ans6 ap_neg_ans6,neg neg neg,neither_obj neither_obj neither_obj,neg,neither_obj,ap_neg_ans6,to_do,,0,1,0,0
38,,,,,,,,,,,,,,,,,0,0,0,0
39,expt1,cond1b,UNEXP,5a73e6b09cdd18000177898a,alan_plane,goal,He missed his plane,mk kc mq,ap_neg_ans5 ap_neg_ans5 ap_neg_ans5,neg neg neg,goal_obj neither_obj goal_obj,neg,goal_obj,ap_neg_ans5,to_do,,0,1,0,0
40,,,,,,,,,,,,,,,,,0,0,0,0
41,expt1,cond1b,UNEXP,5a863fb8f1408d0001768afa,alan_plane,goal,his bags get lost,mk kc mq,ap_neg_ans1 ap_neg_ans1 ap_neg_ans1,neg neg neg,goal_obj goal_obj goal_obj,neg,goal_obj,ap_neg_ans1,to_do,,0,1,0,0
42,,,,,,,,,,,,,,,,,0,0,0,0
43,expt1,cond1b,UNEXP,5a9fd77f1eda4100013699da,alan_plane,goal,His luggage is over the weight limit.,mk kc mq,ap_neg_ans1 ap_neg_ans1 ap_neg_ans1,neg neg neg,goal_obj goal_obj goal_obj,neg,goal_obj,ap_neg_ans1,to_do,,0,1,0,0
44,,,,,,,,,,,,,,,,,0,0,0,0
45,expt1,cond1b,UNEXP,5ab43470fa3b4e000172bd6c,alan_plane,goal,He is selected for extra screening and must submit to a strip search,mk kc mq,ap_other ap_other ap_other,neg neg neg,neither_obj neither_obj neither_obj,neg,neither_obj,ap_other,to_do,,0,1,0,0
46,,,,,,,,,,,,,,,,,0,0,0,0
47,expt1,cond1b,UNEXP,5aba99faa3ba7a0001b42fe3,alan_plane,goal,He realizes he left his magazine in the taxi.,mk kc mq,ap_neg_ans4 ap_neg_ans4 ap_neg_ans4,neg neg neg,non_goal_obj non_goal_obj non_goal_obj,neg,non_goal_obj,ap_neg_ans4,to_do,,0,1,0,0
48,,,,,,,,,,,,,,,,,0,0,0,0
49,expt1,cond1b,UNEXP,5af0c23de6ec8d0001245f77,alan_plane,goal,He saw a childhood friend at the airport,mk kc mq,ap_other ap_other ap_other,pos pos pos,neither_obj neither_obj goal_obj,pos,neither_obj,ap_other,to_do,,1,0,0,0
50,,,,,,,,,,,,,,,,,0,0,0,0
51,expt1,cond1b,UNEXP,5b0a65dae9270900013b8e64,alan_plane,goal,he has a problem with one of his bags,mk kc mq,ap_neg_ans1 ap_neg_ans1 ap_neg_ans1,neg neg neg,goal_obj goal_obj goal_obj,neg,goal_obj,ap_neg_ans1,to_do,,0,1,0,0
52,,,,,,,,,,,,,,,,,0,0,0,0
53,expt1,cond1b,UNEXP,5b12f593c85dc40001622afd,alan_plane,goal,Alan realizes that he placed the magazine from the taxi in his bag.,mk kc mq,ap_neg_ans4 ap_neg_ans4 ap_neg_ans4,neg neg neg,both_objs both_objs non_goal_obj,neg,both_objs,ap_neg_ans4,to_do,,0,1,0,0
54,,,,,,,,,,,,,,,,,0,0,0,0
55,expt1,cond1b,UNEXP,5b134a12bd9c31000156d4e2,alan_plane,goal,After he checks in his bags they ended up getting lost.,mk kc mq,ap_neg_ans1 ap_neg_ans1 ap_neg_ans1,neg neg neg,goal_obj goal_obj goal_obj,neg,goal_obj,ap_neg_ans1,to_do,,0,1,0,0
56,,,,,,,,,,,,,,,,,0,0,0,0
57,expt1,cond1b,UNEXP,5b13db68e9270900013c51af,alan_plane,goal,He released he left his passport in the taxi,mk kc mq,ap_neg_ans3 ap_neg_ans3 ap_neg_ans3,neg neg neg,neither_obj neither_obj non_goal_obj,neg,neither_obj,ap_neg_ans3,to_do,,0,1,0,0
58,,,,,,,,,,,,,,,,,0,0,0,0
59,expt1,cond1b,UNEXP,5b14161e30d562000155e871,alan_plane,goal,Alan has left his plane tickets in the taxi and not his bag,mk kc mq,ap_neg_ans2 ap_neg_ans2 ap_neg_ans2,neg neg neg,neither_obj neither_obj both_objs,neg,neither_obj,ap_neg_ans2,to_do,,0,1,0,0
60,,,,,,,,,,,,,,,,,0,0,0,0
61,expt1,cond1b,UNEXP,5b15562c30d5620001560043,alan_plane,goal,Alan probably gets on the plane to New York and arrives safely.,mk kc mq,ap_other ap_other ap_other,pos pos pos,goal_obj neither_obj goal_obj,pos,goal_obj,ap_other,to_do,,1,0,0,0
62,,,,,,,,,,,,,,,,,0,0,0,0
63,expt1,cond1b,UNEXP,5b1617ca9663ee0001464b1b,alan_plane,goal,Something had been stolen from his bag.,mk kc mq,ap_neg_ans1 ap_neg_ans1 ap_other,neg neg neg,goal_obj goal_obj goal_obj,neg,goal_obj,ap_neg_ans1,to_do,,0,1,0,0
64,,,,,,,,,,,,,,,,,0,0,0,0
65,expt1,cond2a,UNEXP-GOOD,57019bd1917228000e8d4fd1,alan_plane,non-goal,Alan gets an automatic upgrade to business class when he checks in.,mk kc mq,ap_pos_ans2 ap_pos_ans2 ap_pos_ans2,pos pos pos,neither_obj neither_obj neither_obj,pos,neither_obj,ap_pos_ans2,to_do,,1,0,0,0
66,,,,,,,,,,,,,,,,,0,0,0,0
67,expt1,cond2a,UNEXP-GOOD,586e5cdddb3e720001e22fc8,alan_plane,non-goal,Alan captures some beautiful photos in NY,mk kc mq,ap_pos_ans5 ap_pos_ans5 ap_pos_ans5,pos pos pos,neither_obj neither_obj neither_obj,pos,neither_obj,ap_pos_ans5,to_do,,1,0,0,0
68,,,,,,,,,,,,,,,,,0,0,0,0
69,expt1,cond2a,UNEXP-GOOD,5960374cb752840001ca45a0,alan_plane,non-goal,The check-in procedure is swift and his flight is enjoyable,mk kc mq,ap_pos_ans4 ap_pos_ans4 ap_other,pos pos pos,goal_obj neither_obj goal_obj,pos,goal_obj,ap_pos_ans4,to_do,,1,0,0,0
70,,,,,,,,,,,,,,,,,0,0,0,0
